id,username,password,role,first_name,last_name,email,login_attempts
1,k.ross,A123kr,Admin,Karen,Ross,karen.ross@admin.srt,0
2,a.carrigan,A123ac,Admin,Adam,Carrigan,adam.carrigan@admin.srt,0
3,c.lepp,A123cl,Admin,Cody,Lepp,cody.lepp@admin.srt,0
4,j.gilligan,A123jg,Admin,James,Gilligan,james.gilligan@admin.srt,0
5,a.mason,A123am,Admin,Adam ,Mason,adam.mason@admin.srt,0
6,d.wood,A123dw,Admin,Dratin ,Wood,dratin.wood@admin.srt,0
7,a.rock,T123ar,Teacher,Allison,Rock,allison.rock@univ.edu,0
8,l.moore,T123lm,Teacher,Lance,Moore,lance.moore@univ.edu,0
123213,a.cruiser,S123ac,Student,Ashton,Cruiser,a.cruiser@student.edu,0
482517,k.white,S123kw,Student,Kayla,White,k.white@student.edu,0
759832,a.myers,S123am,Student,Ashley,Myers,a.myers@student.edu,0
103456,l.simpson,S123ls,Student,Lisa,Simpson,l.simpson@student.edu,0
894273,j.martin,S123jm,Student,Justin,Martin,j.martin@student.edu,0
625198,c.porter,S123cp,Student,Caleb,Porter,c.porter@student.edu,0
347690,m.turner,S123mt,Student,Mayra,Turner,m.turner@student.edu,0
