Student_ID,FirstName,LastName,Grade,Avg_Test_Score,Attendance,Study_Hours_Per_Week,Retention_Score
12345678,John,Doe,75.48,78.2,92.0,13,73.2
23456789,Jane,Smith,87.2,85.6,94.5,7,88.2
34567890,Bob,Johnson,91.76,91.0,88.3,10,90.8
45678901,Alice,Williams,66.21,70.5,80.2,6,65.7
56789012,Chris,Brown,82.18,82.4,95.5,9,84.9
67890123,Emily,Miller,78.54,79.8,88.9,5,77.3
78901234,David,Wilson,93.27,93.7,91.2,12,94.6
89012345,Sarah,Jones,64.32,68.5,82.7,6,61.4
90123456,Mike,Davis,87.98,89.2,93.5,8,88.9
12345098,Olivia,Taylor,84.22,84.0,87.8,5,81.0
21098765,Ethan,Anderson,74.03,76.3,85.2,4,70.7
32109876,Emma,Moore,90.12,90.5,92.4,10,92.0
43210987,Liam,Johnson,79.14,78.9,87.3,3,74.3
54321098,Ava,Thomas,87.44,88.3,91.8,9,87.2
65432109,Noah,Martin,71.39,71.8,78.6,4,66.9
76543210,Sophia,Lewis,93.59,94.2,89.7,11,93.7
87654321,Mason,Hill,82.78,83.7,88.5,7,80.2
98765432,Isabella,Clark,87.39,87.5,94.0,8,86.3
10987654,Aiden,Young,74.72,75.2,82.1,6,70.2
21098765,Abigail,Morris,92.78,92.8,91.5,12,94.8
32109876,Lucas,Baker,80.46,80.6,86.4,3,77.0
43210987,Mia,Kelly,87.6,86.9,93.2,9,88.6
54321098,James,Ward,73.78,73.5,81.0,5,67.1
65432109,Ella,Fisher,91.72,91.5,90.3,11,92.7
76543210,Logan,Stewart,78.46,79.4,84.6,6,75.1
87654321,Avery,Young,84.82,85.0,92.7,9,86.8
98765432,Samuel,Gibson,75.26,74.6,79.7,5,68.5
10987654,Scarlett,King,92.77,93.5,89.1,13,94.3
21098765,Jackson,Cooper,81.16,81.2,87.8,6,78.0
32109876,Grace,Ford,88.67,88.7,94.5,9,88.7
13579135,Dylan,Hall,76.87,77.3,83.5,7,73.6
24680246,Aria,White,91.19,92.1,89.4,10,93.1
35791357,Connor,Bell,79.31,79.0,85.7,6,75.7
46982468,Leah,Carter,87.54,86.4,92.1,8,87.6
58093579,Elijah,Adams,73.31,72.7,79.3,4,67.8
69104690,Lily,Bailey,88.18,90.2,91.8,11,91.6
70215701,Grayson,Howard,80.68,80.3,88.2,7,78.9
81326812,Hazel,Fisher,88.99,88.9,94.3,9,89.6
92437923,Owen,Barnes,76.32,76.8,82.4,5,72.2
03549035,Anna,Hall,91.46,91.8,90.7,12,94.0
14650146,Julian,Turner,82.06,82.1,87.5,6,80.3
25761257,Clara,Evans,87.26,87.2,93.8,10,88.4
36872368,Jack,Green,74.27,74.2,81.5,5,69.2
47983479,Amelia,Cooper,92.22,93.0,88.9,11,94.3
59094590,Wyatt,Collins,81.58,81.8,86.3,7,79.0
60105601,Nova,Hill,87.79,88.1,94.9,8,89.3
71216712,Aiden,Ward,76.78,75.9,80.7,5,70.8
82327823,Ellie,Perry,94.16,94.5,90.5,12,94.9
93438934,Landon,Reed,81.08,80.9,87.1,8,79.3
04549045,Mila,Ross,89.08,89.5,93.2,9,90.1
15650156,Nolan,Campbell,77.68,77.7,82.9,5,72.9
26761267,Isaac,Kelly,92.44,92.3,89.1,10,93.4
37872378,Scarlett,Watson,80.08,79.2,84.6,6,75.9
48983489,Harper,Powell,87.14,86.7,92.5,9,88.8
59094590,Lincoln,Stewart,74.88,73.9,80.2,4,69.8
60105601,Adeline,Rivera,91.68,91.2,91.7,11,92.8
71216712,Austin,Gordon,81.38,81.4,87.8,7,79.7
82327823,Zoe,Cox,88.99,88.5,94.6,8,89.0
93438934,Miles,Reid,76.52,76.4,81.8,5,71.5
04549045,Eva,Phillips,93.54,94.0,89.3,12,94.7
15650156,Caleb,Bell,81.42,80.2,86.5,7,78.3
26761267,Luna,Morris,87.86,87.8,93.7,9,89.7
37872378,Jaxon,Martin,75.48,75.5,80.9,5,71.0
48983489,Nova,Howard,92.36,93.2,91.4,11,94.1
